RUN	perf.TestSimulation	testsimulation	1676394243974	 	3.0.3
USER	mainScenario	1	START	1676394244663	1676394244663
REQUEST	1	open	/webtours/	1676394244680	1676394244737	OK	 
REQUEST	1	open	/cgi-bin/welcome.pl	1676394244757	1676394244850	OK	 
REQUEST	1	open	/cgi-bin/nav.pl	1676394244858	1676394244987	OK	 
GROUP	1	open	1676394244667	1676394244992	279	OK
REQUEST	1	login	/cgi-bin/login.pl	1676394244994	1676394245056	OK	 
REQUEST	1	login	/cgi-bin/nav.pl	1676394245058	1676394245146	OK	 
REQUEST	1	login	/cgi-bin/login.pl	1676394245147	1676394245239	OK	 
GROUP	1	login	1676394244993	1676394245240	242	OK
REQUEST	1	buyTicket	/cgi-bin/welcome.pl	1676394245240	1676394245324	OK	 
REQUEST	1	buyTicket	/cgi-bin/nav.pl	1676394245325	1676394245416	OK	 
REQUEST	1	buyTicket	/cgi-bin/reservations.pl	1676394245417	1676394245524	OK	 
REQUEST	1	buyTicket	/cgi-bin/reservations.pl	1676394245526	1676394245626	OK	 
REQUEST	1	buyTicket	/cgi-bin/reservations.pl	1676394245628	1676394245731	OK	 
REQUEST	1	buyTicket	/cgi-bin/reservations.pl	1676394245733	1676394245836	OK	 
GROUP	1	buyTicket	1676394245240	1676394245837	588	OK
REQUEST	1	itinerary	/cgi-bin/welcome.pl	1676394245838	1676394245928	OK	 
REQUEST	1	itinerary	/cgi-bin/nav.pl	1676394245929	1676394246025	OK	 
REQUEST	1	itinerary	/cgi-bin/itinerary.pl	1676394246026	1676394246161	OK	 
GROUP	1	itinerary	1676394245837	1676394246163	321	OK
REQUEST	1	signOff	/cgi-bin/welcome.pl	1676394246163	1676394246217	OK	 
REQUEST	1	signOff	/cgi-bin/nav.pl	1676394246218	1676394246327	OK	 
REQUEST	1	signOff	/WebTours/home.html	1676394246328	1676394246356	OK	 
GROUP	1	signOff	1676394246163	1676394246357	191	OK
USER	mainScenario	1	END	1676394244663	1676394246358
USER	mainScenario	2	START	1676394253670	1676394253670
REQUEST	2	open	/webtours/	1676394253670	1676394253708	OK	 
REQUEST	2	open	/cgi-bin/welcome.pl	1676394253708	1676394253766	OK	 
REQUEST	2	open	/cgi-bin/nav.pl	1676394253767	1676394253861	OK	 
GROUP	2	open	1676394253670	1676394253863	190	OK
REQUEST	2	login	/cgi-bin/login.pl	1676394253863	1676394253961	OK	 
REQUEST	2	login	/cgi-bin/nav.pl	1676394253962	1676394254050	OK	 
REQUEST	2	login	/cgi-bin/login.pl	1676394254051	1676394254157	OK	 
GROUP	2	login	1676394253863	1676394254158	292	OK
REQUEST	2	buyTicket	/cgi-bin/welcome.pl	1676394254158	1676394254246	OK	 
REQUEST	2	buyTicket	/cgi-bin/nav.pl	1676394254248	1676394254335	OK	 
REQUEST	2	buyTicket	/cgi-bin/reservations.pl	1676394254337	1676394254443	OK	 
REQUEST	2	buyTicket	/cgi-bin/reservations.pl	1676394254445	1676394254544	OK	 
REQUEST	2	buyTicket	/cgi-bin/reservations.pl	1676394254545	1676394254671	OK	 
